R,G,B
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
129.2393937,137.5112401,141.1272373
117.3569521,115.4081281,112.180814
132.0213342,132.6092159,129.3253577
134.927523,155.2474744,158.2465499
119.3176127,113.3409527,109.2540435
111.5515064,120.8630558,112.0792831
114.6087681,102.9027653,85.81678632
115.6274962,118.6346587,107.0761204
102.9890879,100.7722981,93.22918267
179.8797147,165.5733963,136.4654688
155.7321492,154.5616537,154.7105294
113.5847167,122.2719657,100.6765182
140.9882472,149.0181611,156.0561217
122.3813582,135.8058969,149.1105574
89.20126763,93.83256747,98.35720699
138.9568157,149.1699122,157.9488503
140.8782547,156.7540429,173.6250146
127.7981223,132.6763455,124.2966667
120.8028023,121.8091611,118.7729376
91.30112376,105.0126267,76.98722272
132.2243695,128.0018214,120.8566025
116.6940158,151.7644629,151.7771258
97.11334881,91.60570487,86.30482144
105.582274,135.7756213,119.7060786
95.29437338,88.45047251,78.91688214
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
104.4152941,109.9497681,108.1379977
167.1971372,175.4501077,175.941725
93.88329361,96.38955617,93.13113988
115.4559379,133.1121018,135.8408873
152.5144622,149.5380345,141.9028152
156.0287645,154.8240145,143.9726204
126.5229999,120.5900382,112.1136034
107.3227012,170.9175254,162.2079859
145.7315127,140.0651015,141.4531048
104.2757401,102.6172446,98.22153821
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
104.4152941,109.9497681,108.1379977
167.1971372,175.4501077,175.941725
93.88329361,96.38955617,93.13113988
115.4559379,133.1121018,135.8408873
152.5144622,149.5380345,141.9028152
