R,G,B,Lat,Lon
0,0,0,1.288709824,103.7646668
0,0,0,1.288709824,103.7786668
0,0,0,1.288709824,103.7926668
0,0,0,1.288709824,103.8066668
0,0,0,1.288709824,103.8206668
0,0,0,1.288709824,103.8346668
0,0,0,1.288709824,103.8486668
0,0,0,1.288709824,103.8626668
0,0,0,1.288709824,103.8766668
0,0,0,1.288709824,103.8906668
0,0,0,1.292751277,103.6176667
127.5,132.6,133.3,1.292751277,103.6316667
0,0,0,1.292751277,103.6456667
0,0,0,1.292751277,103.6596667
0,0,0,1.292751277,103.6736667
0,0,0,1.292751277,103.6876668
0,0,0,1.292751277,103.7016668
0,0,0,1.292751277,103.7156668
0,0,0,1.292751277,103.7576668
0,0,0,1.292751277,103.7716668
0,0,0,1.292751277,103.7856668
0,0,0,1.292751277,103.7996668
0,0,0,1.292751277,103.8136668
0,0,0,1.292751277,103.8276668
0,0,0,1.292751277,103.8416668
0,0,0,1.292751277,103.8556668
0,0,0,1.292751277,103.8696668
0,0,0,1.292751277,103.8836668
0,0,0,1.292751277,103.8976668
127.5,132.6,133.3,1.296792731,103.6246667
0,0,0,1.296792731,103.6386667
0,0,0,1.296792731,103.6526667
0,0,0,1.296792731,103.6666667
0,0,0,1.296792731,103.6806667
0,0,0,1.296792731,103.6946668
0,0,0,1.296792731,103.7086668
0,0,0,1.296792731,103.7226668
0,0,0,1.296792731,103.7366668
0,0,0,1.296792731,103.7506668
0,0,0,1.296792731,103.7646668
0,0,0,1.296792731,103.7786668
0,0,0,1.296792731,103.7926668
0,0,0,1.296792731,103.8066668
0,0,0,1.296792731,103.8206668
0,0,0,1.296792731,103.8346668
0,0,0,1.296792731,103.8486668
0,0,0,1.296792731,103.8626668
0,0,0,1.296792731,103.8766668
0,0,0,1.296792731,103.8906668
0,0,0,1.296792731,103.9046669
0,0,0,1.300834185,103.6176667
127.5,132.6,133.3,1.300834185,103.6316667
0,0,0,1.300834185,103.6456667
0,0,0,1.300834185,103.6596667
0,0,0,1.300834185,103.6736667
0,0,0,1.300834185,103.6876668
0,0,0,1.300834185,103.7016668
0,0,0,1.300834185,103.7156668
141.33333333333334,137.5,132.66666666666666,1.300834185,103.7296668
0,0,0,1.300834185,103.7436668
0,0,0,1.300834185,103.7576668
0,0,0,1.300834185,103.7716668
0,0,0,1.300834185,103.7856668
0,0,0,1.300834185,103.7996668
0,0,0,1.300834185,103.8136668
0,0,0,1.300834185,103.8276668
0,0,0,1.300834185,103.8416668
0,0,0,1.300834185,103.8556668
0,0,0,1.300834185,103.8696668
0,0,0,1.300834185,103.8836668
0,0,0,1.300834185,103.8976668
0,0,0,1.300834185,103.9116669
0,0,0,1.300834185,103.9256669
121.0,119.2,114.4,1.304875639,103.6246667
110.6,104.0,87.2,1.304875639,103.6386667
0,0,0,1.304875639,103.6526667
0,0,0,1.304875639,103.6666667
0,0,0,1.304875639,103.6806667
0,0,0,1.304875639,103.6946668
0,0,0,1.304875639,103.7086668
114.66666666666667,122.66666666666667,121.66666666666667,1.304875639,103.7226668
0,0,0,1.304875639,103.7366668
0,0,0,1.304875639,103.7506668
0,0,0,1.304875639,103.7646668
0,0,0,1.304875639,103.7786668
0,0,0,1.304875639,103.7926668
0,0,0,1.304875639,103.8066668
0,0,0,1.304875639,103.8206668
0,0,0,1.304875639,103.8346668
0,0,0,1.304875639,103.8486668
0,0,0,1.304875639,103.8626668
0,0,0,1.304875639,103.8766668
0,0,0,1.304875639,103.8906668
0,0,0,1.304875639,103.9046669
0,0,0,1.304875639,103.9186669
0,0,0,1.304875639,103.9326669
0,0,0,1.308917092,103.6316667
0,0,0,1.308917092,103.6456667
0,0,0,1.308917092,103.6596667
0,0,0,1.308917092,103.6736667
0,0,0,1.308917092,103.6876668
0,0,0,1.308917092,103.7016668
0,0,0,1.308917092,103.7156668
0,0,0,1.308917092,103.7296668
0,0,0,1.308917092,103.7436668
0,0,0,1.308917092,103.7576668
0,0,0,1.308917092,103.7716668
0,0,0,1.308917092,103.7856668
0,0,0,1.308917092,103.7996668
0,0,0,1.308917092,103.8136668
0,0,0,1.308917092,103.8276668
0,0,0,1.308917092,103.8416668
0,0,0,1.308917092,103.8556668
0,0,0,1.308917092,103.8696668
0,0,0,1.308917092,103.8836668
0,0,0,1.308917092,103.8976668
0,0,0,1.308917092,103.9116669
0,0,0,1.308917092,103.9256669
0,0,0,1.308917092,103.9396669
0,0,0,1.308917092,103.9536669
0,0,0,1.308917092,103.9816669
0,0,0,1.308917092,103.9956669
0,0,0,1.312958546,103.6246667
0,0,0,1.312958546,103.6386667
0,0,0,1.312958546,103.6526667
0,0,0,1.312958546,103.6666667
0,0,0,1.312958546,103.6806667
120.3,119.6,108.6,1.312958546,103.6946668
113.33333333333333,121.26666666666667,115.8,1.312958546,103.7086668
0,0,0,1.312958546,103.7226668
0,0,0,1.312958546,103.7366668
0,0,0,1.312958546,103.7506668
0,0,0,1.312958546,103.7646668
0,0,0,1.312958546,103.7786668
0,0,0,1.312958546,103.7926668
0,0,0,1.312958546,103.8066668
0,0,0,1.312958546,103.8206668
0,0,0,1.312958546,103.8346668
0,0,0,1.312958546,103.8486668
0,0,0,1.312958546,103.8626668
0,0,0,1.312958546,103.8766668
0,0,0,1.312958546,103.8906668
0,0,0,1.312958546,103.9046669
0,0,0,1.312958546,103.9186669
0,0,0,1.312958546,103.9326669
0,0,0,1.312958546,103.9466669
0,0,0,1.312958546,103.9606669
0,0,0,1.312958546,103.9746669
0,0,0,1.312958546,103.9886669
0,0,0,1.312958546,104.0026669
0,0,0,1.312958546,104.0166669
0,0,0,1.312958546,104.0306669
0,0,0,1.317,103.6316667
0,0,0,1.317,103.6456667
0,0,0,1.317,103.6596667
126.9,133.6,129.4,1.317,103.6736667
0,0,0,1.317,103.6876668
0,0,0,1.317,103.7016668
0,0,0,1.317,103.7156668
0,0,0,1.317,103.7296668
0,0,0,1.317,103.7436668
0,0,0,1.317,103.7576668
0,0,0,1.317,103.7716668
0,0,0,1.317,103.7856668
0,0,0,1.317,103.7996668
0,0,0,1.317,103.8136668
0,0,0,1.317,103.8276668
0,0,0,1.317,103.8416668
0,0,0,1.317,103.8556668
0,0,0,1.317,103.8696668
0,0,0,1.317,103.8836668
0,0,0,1.317,103.8976668
0,0,0,1.317,103.9116669
0,0,0,1.317,103.9256669
0,0,0,1.317,103.9396669
0,0,0,1.317,103.9536669
0,0,0,1.317,103.9676669
0,0,0,1.317,103.9816669
0,0,0,1.317,103.9956669
0,0,0,1.317,104.0096669
0,0,0,1.317,104.0236669
0,0,0,1.317,104.0376669
0,0,0,1.321041454,103.6246667
0,0,0,1.321041454,103.6386667
0,0,0,1.321041454,103.6526667
0,0,0,1.321041454,103.6666667
126.9,133.6,129.4,1.321041454,103.6806667
0,0,0,1.321041454,103.6946668
109.72,114.08,106.56,1.321041454,103.7086668
0,0,0,1.321041454,103.7226668
0,0,0,1.321041454,103.7366668
0,0,0,1.321041454,103.7506668
0,0,0,1.321041454,103.7646668
0,0,0,1.321041454,103.7786668
0,0,0,1.321041454,103.7926668
0,0,0,1.321041454,103.8066668
0,0,0,1.321041454,103.8206668
0,0,0,1.321041454,103.8346668
0,0,0,1.321041454,103.8486668
0,0,0,1.321041454,103.8626668
0,0,0,1.321041454,103.8766668
0,0,0,1.321041454,103.8906668
